product_importance,nb_commandes,cout_produit_moyen,remise_moyenne,satisfaction_moyenne,poids_moyen,marge_nette_moyenne,risque_retour_moyen
Low,5297,212.05984519539362,13.043043232018123,2.98357560883519,3497.4889560128377,-29.50264096658486,1.6220502171040212
Medium,4754,209.38241480858224,13.483172065628944,2.9976861590239796,3712.0504838031134,-29.97103376104333,1.6205300799326883
High,948,203.87130801687763,14.666666666666666,2.9936708860759493,4005.5516877637133,-30.792697784810127,1.6160337552742616
