discount_bucket,nb_commandes,remise_moyenne,revenu_total,marge_brute_totale,impact_remise_total,frais_livraison_total,perte_retour_totale,marge_nette_totale,marge_nette_moyenne,taux_marge_nette_moyen
1-10% - Remise légère,8352,5.507303639846743,1898986.4133,106362.4133,106362.4133,78153.103,159311.4663,-237464.5693,-28.43206050047893,-0.1290655292145594
11-25% - Remise significative,726,17.825068870523417,172991.4674,31212.4674,31212.4674,4203.675,14512.7559,-18716.4309,-25.78020785123967,-0.10821184573002755
26-50% - Promotion forte,1188,38.50757575757576,384251.2264,151046.2264,151046.2264,6563.647,32235.9483,-38799.5953,-32.659592003367,-0.10115075757575757
>50% - Liquidation,733,57.85402455661664,345952.8327,201605.8327,201605.8327,3945.681,29022.9847,-32968.6657,-44.97771582537517,-0.09533124147339699
