return_risk_level,nb_commandes,remise_moyenne,satisfaction_moyenne,cout_livraison_moyen,perte_retour_moyenne,marge_nette_moyenne,taux_marge_nette_moyen
Faible,5033,10.524339360222532,3.566858732366382,8.09196622292867,19.763054520166897,-27.855020743095572,-0.12160600039737732
Moyen,5730,15.550785340314135,2.5469458987783593,8.667874520069809,22.648591710296685,-31.31646623036649,-0.1227798080279232
Élevé,236,21.258474576271187,1.4703389830508475,10.475927966101695,24.742675000000002,-35.21860296610169,-0.13131652542372882
