shipment_mode;nb_commandes;poids_moyen;cout_livraison_moyen;taux_livraison_temps;satisfaction_moyenne;remise_moyenne;marge_nette_moyenne;taux_marge_nette_moyen
Road;1760;3649.550568181818;3.649550568181818;0.5880681818181818;2.9954545454545456;13.084090909090907;-24.927370738636363;-0.1005720454545454
Ship;7462;3631.457518091665;7.26291503618333;0.5975609756097561;2.991289198606272;13.491959260251944;-28.703792066470115;-0.116882806218172
Flight;1777;3629.3781654473833;18.14689082723692;0.6015756893640968;2.9825548677546427;13.160945413618458;-39.32999003939224;-0.1673470455824423
